Nama_Halte,Ruas_Jalan,Lat,Long
Halte Untirta 1 Jalan Raya Jakarta,Jalan Raya Serang-Jakarta,-6.11998,106.19441
Halte Untirta 2, Jalan Raya Jakarta,-6.11973,106.19451
Halte UNIBA, Jalan Raya Jakarta,-6.12011,106.19187
Halte Ledian, Jalan Raya Sudirman,-6.12068,106.17719
Halte Abdul Hadi, Jalan Abdul Hadi (warjok),-6.12557,106.16426
Halte SMK N 1, Jalan KH. Fatah Hasan,-6.12485,106.17047
Halte UIN 1, Jalan Raya Sudirman,-6.12061,106.17358
Halte UIN 2, Jalan Raya Sudirman,-6.12038,106.17356
Halte Carfour, Jalan Ahmad Yani,-6.12053,106.17154
Halte Islamik, Jalan Veteran,-6.11752,106.15621
Halte SMA N 1, Jalan Ahmad Yani,-6.11881,106.16082
Halte SMP 5, Jalan Banten Lama,-6.07146,106.15604
Halte Kasuyatan, Jalan Banten Lama,-6.07036,106.15619
Halte SMA N 3 Taktakan, Jalan Raya Taktakan,-6.11377,106.13537
Halte SMA 2 Kota Serang (Nancang), Jalan Raya Pandeglang - Serang,-6.1521,106.15897
