Trayek,Latitude,Longitude
PAKUPATAN - CICERI - KEPANDEAN PP,-6.11984,106.19674
PAKUPATAN - AHMAD YANI - KEPANDEAN PP,-6.11993,106.19675
PAKUPATAN - PASAR RAU - KEPANDEAN PP,-6.12039,106.19675
PAKUPATAN - CIPOCOK - PASAR RAU PP,-6.12073,106.19658
CIPOCOK - YUMAGA - KEPANDEAN - ROYAL PP,-6.13394,106.16735
CIPOCOK - YUMAGA - KEPANDEAN - ROYAL PP (VIA BUAH GEDE/ AL AZHAR),-6.13394,106.16735
CIPOCOK - ROYAL - PASAR LAMA - PASAR RAU PP,-6.13394,106.16735
KEPANDEAN - LOPANG - PASAR RAU,-6.11091,106.14251
SAWAH LUHUR/KEMAYUNGAN/LEBAK INDAH - PASAR RAU - ROYAL PP,-6.07705,106.18873
PAKUPATAN - POLDA BANTEN - SIMPANG BORU - CIPOCOK PP,-6.12187,106.19639
PAKUPATAN – POLDA BANTEN – KP3B PALIMA – KEPANDEAN PP,-6.12195,106.19682
PASAR RAU - BANTEN,-6.10984,106.16789
